ลำดับที่,โรงงานน้ำตาล,จังหวัด,ภาค
1,โรงงานน้ำตาลทิพย์กำแพงเพชร,กำแพงเพชร,เหนือ
2,โรงงานน้ำตาลทิพย์สุโขทัย (อุตรดิตถ์),สุโขทัย,เหนือ
3,โรงงานน้ำตาลไทยเอกลักษณ์,อุตรดิตถ์,เหนือ
4,โรงงานน้ำตาลทรายกำแพงเพชร,กำแพงเพชร,เหนือ
5,โรงงานเกษตรไทย อินเตอร์เนชั่นแนล ชูการ์ คอร์ปอเรชั่น (รวมผล),นครสวรรค์,เหนือ
6,โรงงานน้ำตาลนครเพชร,กำแพงเพชร,เหนือ
7,โรงงานเกษตรไทย อินเตอร์เนชั่นแนล ชูการ์ คอร์ปอเรชั่น,นครสวรรค์,เหนือ
8,โรงงานไทยรุ่งเรืองอุตสาหกรรม,เพชรบูรณ์,เหนือ
9,โรงงานน้ำตาลพิษณุโลก,พิษณุโลก,เหนือ
10,โรงงานไทยอุตสาหกรรมน้ำตาล (เพชรบูรณ์),เพชรบูรณ์,เหนือ
1,โรงงานน้ำตาลสิงห์บุรี,สิงห์บุรี,กลาง
2,โรงงานอุตสาหกรรมน้ำตาลสุพรรณบุรี,สุพรรณบุรี,กลาง
3,โรงงานน้ำตาลรีไฟน์ชัยมงคล (อู่ทอง),สุพรรณบุรี,กลาง
4,โรงงานไทยเพิ่มพูนอุตสาหกรรม,กาญจนบุรี,กลาง
5,โรงงานไทยอุตสาหกรรมน้ำตาล,กาญจนบุรี,กลาง
6,โรงงานประจวบอุตสาหกรรม,กาญจนบุรี,กลาง
7,โรงงานน้ำตาลท่ามะกา,กาญจนบุรี,กลาง
8,โรงงานน้ำตาลนิวกรุงไทย,กาญจนบุรี,กลาง
9,โรงงานอุตสาหกรรมน้ำตาลบ้านไร่,อุทัยธานี,กลาง
10,โรงงานน้ำตาลไทยกาญจนบุรี,กาญจนบุรี,กลาง
11,โรงงานอุตสาหกรรมมิตรเกษตร,กาญจนบุรี,กลาง
12,โรงงานน้ำตาลมิตรผล,สุพรรณบุรี,กลาง
13,โรงงานน้ำตาลบ้านโป่ง,ราชบุรี,กลาง
14,โรงงานน้ำตาลราชบุรี,ราชบุรี,กลาง
15,โรงงานอุตสาหกรรมน้ำตาล ที.เอ็น.,ลพบุรี,กลาง
16,โรงงานอุตสาหกรรมน้ำตาลปราณบุรี,ประจวบคีรีขันธ์,กลาง
17,โรงงานน้ำตาลสระบุรี,สระบุรี,กลาง
18,โรงงานมิตรเกษตร (อุทัยธานี),อุทัยธานี,กลาง
19,โรงงานน้ำตาลสระบุรี (สระโบสถ์),ลพบุรี,กลาง
20,โรงงานน้ำตาลราชบุรี (กาญจนบุรี),กาญจนบุรี,กลาง
1,โรงงานน้ำตาลนิวกว้างสุ้นหลี,ชลบุรี,ตะวันออก
2,โรงงานอุตสาหกรรมน้ำตาลชลบุรี,ชลบุรี,ตะวันออก
3,โรงงานสหการน้ำตาลชลบุรี,ชลบุรี,ตะวันออก
4,โรงงานน้ำตาลและอ้อยตะวันออก,สระแก้ว,ตะวันออก
5,โรงงานน้ำตาลระยอง,ชลบุรี,ตะวันออก
6,โรงงานน้ำตาลและอ้อยตะวันออก (วังสมบูรณ์),สระแก้ว,ตะวันออก
1,โรงงานน้ำตาลสุรินทร์,สุรินทร์,ภาคตะวันออกเฉียงเหนือ
2,โรงงานอุตสาหกรรมน้ำตาลอีสาน,กาฬสินธุ์,ภาคตะวันออกเฉียงเหนือ
3,โรงงานน้ำตาลมิตรกาฬสินธุ์,กาฬสินธุ์,ภาคตะวันออกเฉียงเหนือ
4,โรงงานน้ำตาลวังขนาย (มหาวัง),มหาสารคาม,ภาคตะวันออกเฉียงเหนือ
5,โรงงานน้ำตาลเกษตรผล,อุดรธานี,ภาคตะวันออกเฉียงเหนือ
6,โรงงานอุตสาหกรรมโคราช,นครราชสีมา,ภาคตะวันออกเฉียงเหนือ
7,โรงงานรวมเกษตรกรอุตสาหกรรม (ขอนแก่น),ขอนแก่น,ภาคตะวันออกเฉียงเหนือ
8,โรงงานอุตสาหกรรมอ่างเวียน (ราชสีมา),นครราชสีมา,ภาคตะวันออกเฉียงเหนือ
9,โรงงานน้ำตาลครบุรี,นครราชสีมา,ภาคตะวันออกเฉียงเหนือ
10,โรงงานน้ำตาลทรายขาวเริ่มอุดม,อุดรธานี,ภาคตะวันออกเฉียงเหนือ
11,โรงงานน้ำตาลกุมภวาปี,อุดรธานี,ภาคตะวันออกเฉียงเหนือ
12,โรงงานน้ำตาลขอนแก่น,ขอนแก่น,ภาคตะวันออกเฉียงเหนือ
13,โรงงานน้ำตาลสหเรือง,มุกดาหาร,ภาคตะวันออกเฉียงเหนือ
14,โรงงานน้ำตาลบุรีรัมย์,บุรีรัมย์,ภาคตะวันออกเฉียงเหนือ
15,โรงงานรวมเกษตรกรอุตสาหกรรม (ชัยภูมิ),ชัยภูมิ,ภาคตะวันออกเฉียงเหนือ
16,โรงงานน้ำตาลเอราวัณ,หนองบัวลำภู,ภาคตะวันออกเฉียงเหนือ
17,โรงงานน้ำตาลไทยกาญจนบุรี (อุดรธานี),อุดรธานี,ภาคตะวันออกเฉียงเหนือ
18,โรงงานรวมเกษตรกรอุตสาหกรรม (มิตรภูหลวง),เลย,ภาคตะวันออกเฉียงเหนือ
19,โรงงานน้ำตาลขอนแก่น (วังสะพุง),เลย,ภาคตะวันออกเฉียงเหนือ
20,โรงงานน้ำตาลระยอง (ชัยภูมิ),ชัยภูมิ,ภาคตะวันออกเฉียงเหนือ
21,โรงงานไทยรุ่งเรืองอุตสาหกรรม (สกลนคร),สกลนคร,ภาคตะวันออกเฉียงเหนือ
22,โรงงานน้ำตาลมิตรกาฬสินธุ์ (อำนาจเจริญ),อำนาจเจริญ,ภาคตะวันออกเฉียงเหนือ
